platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Baseline,Root-Loss,20,3,1,0.742424,300.026,218264.984,401972,591
rpl-lite,Baseline,Root-Loss,20,4,1,0.727273,126.425,278807.984,494530,942
rpl-lite,Baseline,Root-Loss,20,5,1,0.738462,94.383,213258.984,340143,497
rpl-lite,Baseline,Root-Loss,20,6,1,0.742424,123.884,161875.984,419287,676
rpl-lite,Baseline,Root-Loss,20,7,1,0.878788,116.991,189245.984,331671,341
rpl-lite,Baseline,Root-Loss,20,8,1,0.742424,124.921,188044.984,258180,271
rpl-lite,Baseline,Root-Loss,20,9,1,0.753846,317.329,172092.224,395154,620
rpl-lite,Baseline,Root-Loss,20,10,1,0.742424,124.222,160766.984,412656,472
rpl-lite,Baseline,Root-Loss,20,11,1,0.742424,130.594,184050.984,476721,843
rpl-lite,Baseline,Root-Loss,20,12,1,0.742424,131.926,202046.984,427814,679
rpl-lite,Baseline,Root-Loss,20,13,1,0.757576,152.131,246457.984,566558,1132
rpl-lite,Baseline,Root-Loss,20,14,1,0.753846,221.478,220754.984,442793,750
rpl-lite,Baseline,Root-Loss,20,15,1,0.738462,158.857,175012.984,416909,722
rpl-lite,Baseline,Root-Loss,20,16,1,0.742424,407.211,195370.984,525219,1087
rpl-lite,Baseline,Root-Loss,20,17,1,0.712121,133.668,233708.984,384062,687
rpl-lite,Baseline,Root-Loss,20,18,1,0.742424,123.661,167571.984,394142,663
rpl-lite,Baseline,Root-Loss,20,19,1,0.727273,129.003,184330.984,430966,654
rpl-lite,Baseline,Root-Loss,20,20,1,0.757576,141.387,183556.984,612218,1383
rpl-lite,Baseline,Root-Loss,40,1,1,0.742424,126.457,180506.984,2091462,845
rpl-lite,Baseline,Root-Loss,40,2,1,0.753846,147.492,210903.984,1981401,912
rpl-lite,Baseline,Root-Loss,40,3,1,0.738462,152.585,199963.984,1882300,741
rpl-lite,Baseline,Root-Loss,40,4,1,0.757576,305.877,190747.984,2084093,980
rpl-lite,Baseline,Root-Loss,40,5,1,0.742424,129.027,186852.984,2142915,843
rpl-lite,Baseline,Root-Loss,40,6,1,0.757576,271.120,192189.984,2107486,993
rpl-lite,Baseline,Root-Loss,40,7,1,0.833333,349.906,161405.224,2030495,899
rpl-lite,Baseline,Root-Loss,40,8,1,0.742424,119.981,199039.984,1978576,845
rpl-lite,Baseline,Root-Loss,40,9,1,0.757576,158.198,160360.984,2149124,1097
rpl-lite,Baseline,Root-Loss,40,10,1,0.738462,129.634,182364.984,1976538,794
rpl-lite,Baseline,Root-Loss,40,11,1,0.753846,399.044,192015.984,1963443,851
