platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Full,Local Failure,20,3,1,1.000000,124.990,149736.224,100009,408
rpl-lite,Full,Local Failure,20,4,1,0.984615,125.655,181827.984,101419,408
rpl-lite,Full,Local Failure,20,5,1,0.969697,123.170,132677.984,96082,314
rpl-lite,Full,Local Failure,20,6,1,0.969697,126.450,193066.984,93719,52
rpl-lite,Full,Local Failure,20,7,1,0.984848,81.733,179737.984,102114,406
rpl-lite,Full,Local Failure,20,8,1,1.000000,119.274,138366.984,99230,387
rpl-lite,Full,Local Failure,20,9,1,1.000000,133.559,114348.984,95648,250
rpl-lite,Full,Local Failure,20,10,1,1.000000,127.195,183502.984,101580,427
rpl-lite,Full,Local Failure,20,11,1,1.000000,128.190,94652.984,95533,60
rpl-lite,Full,Local Failure,20,12,1,0.984848,131.983,119952.984,101029,429
rpl-lite,Full,Local Failure,20,13,1,1.000000,127.399,148826.984,97861,276
rpl-lite,Full,Local Failure,20,14,1,0.984615,129.647,152074.984,99599,407
rpl-lite,Full,Local Failure,20,15,1,0.984848,129.882,147390.984,96640,70
rpl-lite,Full,Local Failure,20,16,1,1.000000,133.483,184763.984,94277,42
rpl-lite,Full,Local Failure,20,17,1,0.984615,129.873,149069.984,102006,388
rpl-lite,Full,Local Failure,20,18,1,1.000000,126.812,143885.984,97871,374
rpl-lite,Full,Local Failure,20,19,1,1.000000,127.297,105258.984,101083,360
rpl-lite,Full,Local Failure,20,20,1,0.984848,127.809,165790.984,93006,53
rpl-lite,Full,Local Failure,40,1,1,1.000000,125.278,154409.984,713883,127
rpl-lite,Full,Local Failure,40,2,1,1.000000,133.876,180522.984,719909,127
rpl-lite,Full,Local Failure,40,3,1,1.000000,126.413,188891.984,707190,130
rpl-lite,Full,Local Failure,40,4,1,1.000000,125.463,189002.984,713121,140
rpl-lite,Full,Local Failure,40,5,1,1.000000,125.271,178473.984,721299,469
rpl-lite,Full,Local Failure,40,6,1,0.984848,125.854,110858.984,722428,133
rpl-lite,Full,Local Failure,40,7,1,0.984615,77.623,190814.984,708609,511
rpl-lite,Full,Local Failure,40,8,1,1.000000,118.315,157954.984,712544,112
rpl-lite,Full,Local Failure,40,9,1,1.000000,130.828,172172.984,721304,106
rpl-lite,Full,Local Failure,40,10,1,0.984848,125.240,99727.984,698041,125
rpl-lite,Full,Local Failure,40,11,1,0.984848,124.955,182038.224,697904,136
rpl-lite,Full,Local Failure,40,12,1,0.984848,120.321,150531.984,721154,131
rpl-lite,Full,Local Failure,40,13,1,1.000000,128.232,192247.224,700149,129
rpl-lite,Full,Local Failure,40,14,1,1.000000,127.543,156724.984,684591,130
rpl-lite,Full,Local Failure,40,15,1,0.984848,133.036,85915.984,699025,138
rpl-lite,Full,Local Failure,40,16,1,0.969231,129.792,190121.984,716970,133
rpl-lite,Full,Local Failure,40,17,1,0.984615,126.263,105769.984,708887,131
rpl-lite,Full,Local Failure,40,18,1,1.000000,132.278,101833.984,709205,124
rpl-lite,Full,Local Failure,40,19,1,1.000000,128.332,130549.224,681820,485
rpl-lite,Full,Local Failure,40,20,1,1.000000,130.793,166999.984,705583,105
rpl-lite,Full,Local Failure,60,1,1,0.969697,123.939,83258.984,3003400,517
rpl-lite,Full,Local Failure,60,2,1,0.984848,124.193,184339.984,2974024,801
rpl-lite,Full,Local Failure,60,3,1,0.984848,123.617,129533.984,2922230,572
rpl-lite,Full,Local Failure,60,4,1,0.984848,120.308,131484.984,2981564,181
rpl-lite,Full,Local Failure,60,5,1,0.984848,117.868,94121.984,2942544,193
rpl-lite,Full,Local Failure,60,6,1,0.984848,120.098,189209.984,2964945,135
rpl-lite,Full,Local Failure,60,7,1,0.969697,120.567,164773.984,2922794,184
rpl-lite,Full,Local Failure,60,8,1,0.969231,127.236,157105.984,2927660,177
rpl-lite,Full,Local Failure,60,9,1,0.984615,117.764,180068.984,2941072,143
rpl-lite,Full,Local Failure,60,10,1,0.984615,122.264,144057.984,2936969,178
rpl-lite,Full,Local Failure,60,11,1,0.984848,118.447,194910.984,2911153,198
rpl-lite,Full,Local Failure,60,12,1,0.984848,122.925,146868.984,2869831,193
rpl-lite,Full,Local Failure,60,13,1,0.984848,119.721,190855.984,2912618,223
rpl-lite,Full,Local Failure,60,14,1,0.984848,119.952,143534.984,2949193,190
rpl-lite,Full,Local Failure,60,15,1,0.984848,120.479,136498.984,2923206,211
rpl-lite,Full,Local Failure,60,16,1,0.984615,123.982,179727.224,2973316,539
rpl-lite,Full,Local Failure,60,17,1,0.984848,119.606,124712.984,2935411,196
rpl-lite,Full,Local Failure,60,18,1,0.984848,123.544,146507.984,2940913,204
rpl-lite,Full,Local Failure,60,19,1,0.984848,120.151,159670.984,2921016,188
rpl-lite,Full,Local Failure,60,20,1,0.984615,120.403,164752.984,2870220,513
